"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2019-02-16,"E","NU1",5,55,35,5,0,14,"NU1 E","N","U"
2019-02-16,"E","NU2",10,30,25,5,30,16.2,"NU2 E","N","U"
2019-02-16,"E","SU1",5,60,30,5,0,17.4,"SU1 E","S","U"
2019-02-16,"E","SU2",5,50,30,5,10,10.8,"SU2 E","S","U"
2019-04-26,"A","ND1",20,40,40,0,0,32,"ND1 A","N","D"
2019-04-26,"A","ND2",10,40,30,0,20,12,"ND2 A","N","D"
2019-04-26,"A","SD1",10,60,10,0,20,13,"SD1 A","S","D"
2019-04-26,"A","SD2",10,70,10,0,10,50,"SD2 A","S","D"
2019-04-26,"A","SM1",10,45,35,5,5,41.8,"SM1 A","S","M"
2019-04-26,"A","SM2",20,45,25,5,5,44,"SM2 A","S","M"
2019-04-26,"B","ND1",10,40,50,0,0,12,"ND1 B","N","D"
2019-04-26,"B","ND2",10,40,25,5,20,12.8,"ND2 B","N","D"
2019-04-26,"B","SD1",10,80,10,0,0,36,"SD1 B","S","D"
2019-04-26,"B","SD2",10,80,10,0,0,45.4,"SD2 B","S","D"
2019-04-26,"B","SM1",15,40,30,5,10,45.8,"SM1 B","S","M"
2019-04-26,"B","SM2",10,40,30,10,10,37.8,"SM2 B","S","M"
2019-04-26,"C","ND1",10,50,40,0,0,33.2,"ND1 C","N","D"
2019-04-26,"C","ND2",20,50,20,0,10,14.2,"ND2 C","N","D"
2019-04-26,"C","SD1",0,80,20,0,0,24,"SD1 C","S","D"
2019-04-26,"C","SD2",10,75,10,0,5,42.6,"SD2 C","S","D"
2019-04-26,"C","SM1",5,50,40,5,0,33.8,"SM1 C","S","M"
2019-04-26,"C","SM2",30,50,20,0,0,39,"SM2 C","S","M"
2019-04-26,"D","ND1",10,30,60,0,0,12.2,"ND1 D","N","D"
2019-04-26,"D","ND2",10,40,30,5,15,21.4,"ND2 D","N","D"
2019-04-26,"D","SD1",0,90,10,0,0,39.2,"SD1 D","S","D"
2019-04-26,"D","SD2",10,70,20,0,0,40.4,"SD2 D","S","D"
2019-04-26,"D","SM1",20,40,30,10,0,40.8,"SM1 D","S","M"
2019-04-26,"D","SM2",10,40,20,10,20,29.6,"SM2 D","S","M"
2019-04-26,"E","ND1",20,20,60,0,0,28.4,"ND1 E","N","D"
2019-04-26,"E","ND2",15,50,15,0,20,16.2,"ND2 E","N","D"
2019-04-26,"E","SD1",0,80,20,0,0,37,"SD1 E","S","D"
2019-04-26,"E","SD2",10,70,10,0,10,42,"SD2 E","S","D"
2019-04-26,"E","SM1",5,50,40,0,5,42.6,"SM1 E","S","M"
2019-04-26,"E","SM2",10,50,25,5,10,37.8,"SM2 E","S","M"
2019-04-28,"A","NM1",10,50,30,0,10,28.8,"NM1 A","N","M"
2019-04-28,"A","NM2",10,50,20,10,10,23.2,"NM2 A","N","M"
2019-04-28,"A","NU1",10,60,30,0,0,12.2,"NU1 A","N","U"
2019-04-28,"A","NU2",10,70,10,0,10,13.4,"NU2 A","N","U"
2019-04-28,"A","SU1",10,60,30,0,0,10.6,"SU1 A","S","U"
2019-04-28,"A","SU2",0,50,30,0,20,8.6,"SU2 A","S","U"
2019-04-28,"B","NM1",10,40,30,0,20,25.6,"NM1 B","N","M"
2019-04-28,"B","NM2",5,50,35,10,0,41,"NM2 B","N","M"
2019-04-28,"B","NU1",0,70,20,0,10,16.4,"NU1 B","N","U"
2019-04-28,"B","NU2",10,70,20,0,0,17.2,"NU2 B","N","U"
2019-04-28,"B","SU1",0,60,40,0,0,9.8,"SU1 B","S","U"
2019-04-28,"B","SU2",10,50,30,0,10,7.2,"SU2 B","S","U"
2019-04-28,"C","NM1",5,50,40,0,5,26.6,"NM1 C","N","M"
2019-04-28,"C","NM2",10,60,30,0,0,22.4,"NM2 C","N","M"
2019-04-28,"C","NU1",10,60,30,0,0,18.2,"NU1 C","N","U"
2019-04-28,"C","NU2",0,70,30,0,0,21.8,"NU2 C","N","U"
2019-04-28,"C","SU1",10,70,20,0,0,6.2,"SU1 C","S","U"
2019-04-28,"C","SU2",5,60,30,0,5,6,"SU2 C","S","U"
2019-04-28,"D","NM1",10,45,40,0,5,31,"NM1 D","N","M"
2019-04-28,"D","NM2",10,50,30,0,10,27.2,"NM2 D","N","M"
2019-04-28,"D","NU1",0,70,20,5,5,16.6,"NU1 D","N","U"
2019-04-28,"D","NU2",0,50,40,0,10,14.8,"NU2 D","N","U"
2019-04-28,"D","SU1",15,60,20,5,0,12.4,"SU1 D","S","U"
2019-04-28,"D","SU2",10,50,40,0,0,8.8,"SU2 D","S","U"
2019-04-28,"E","NM1",0,70,20,0,10,33.2,"NM1 E","N","M"
2019-04-28,"E","NM2",10,50,20,10,10,23.6,"NM2 E","N","M"
2019-04-28,"E","NU1",5,70,10,5,10,13.6,"NU1 E","N","U"
2019-04-28,"E","NU2",10,50,20,10,10,9.4,"NU2 E","N","U"
2019-04-28,"E","SU1",5,70,20,5,0,13.2,"SU1 E","S","U"
2019-04-28,"E","SU2",5,60,20,5,10,7.8,"SU2 E","S","U"
2019-07-09,"A","ND1",20,40,30,0,10,10.8,"ND1 A","N","D"
2019-07-09,"A","ND2",0,40,20,0,40,7.6,"ND2 A","N","D"
2019-07-09,"A","SD1",10,60,10,0,20,9.6,"SD1 A","S","D"
2019-07-09,"A","SD2",30,60,10,0,0,25.8,"SD2 A","S","D"
2019-07-09,"A","SM1",20,40,20,20,0,21.8,"SM1 A","S","M"
2019-07-09,"A","SM2",10,60,20,10,0,21.8,"SM2 A","S","M"
2019-07-09,"B","ND1",20,40,30,0,10,6.8,"ND1 B","N","D"
2019-07-09,"B","ND2",15,30,15,0,40,9.8,"ND2 B","N","D"
2019-07-09,"B","SD1",10,80,10,0,0,12.2,"SD1 B","S","D"
2019-07-09,"B","SD2",20,70,10,0,0,16,"SD2 B","S","D"
2019-07-09,"B","SM1",10,50,25,10,5,15.4,"SM1 B","S","M"
2019-07-09,"B","SM2",5,60,25,5,5,17,"SM2 B","S","M"
2019-07-09,"C","ND1",10,70,20,0,0,15,"ND1 C","N","D"
2019-07-09,"C","ND2",15,40,15,0,30,8.6,"ND2 C","N","D"
2019-07-09,"C","SD1",20,80,0,0,0,15.6,"SD1 C","S","D"
2019-07-09,"C","SD2",20,70,10,0,0,30,"SD2 C","S","D"
2019-07-09,"C","SM1",10,50,25,15,0,19.2,"SM1 C","S","M"
2019-07-09,"C","SM2",10,60,20,5,5,23.6,"SM2 C","S","M"
2019-07-09,"D","ND1",20,40,20,10,10,7.6,"ND1 D","N","D"
2019-07-09,"D","ND2",20,30,20,10,20,7.8,"ND2 D","N","D"
